income,cost,label
2850735,12120296344,3
3146942,8976116500,1
2774214,6175425196,2
2561943,1609692543,0
3001401,10437230074,1
3042133,10369642338,1
3153884,14716607079,3
3212473,11061346167,1
2836678,12385543428,3
2513852,13184559810,3
2717946,9633724210,1
3156210,15291679008,3
2501430,13441191060,3
2585425,7589354256,2
2872128,6510829966,2
2826077,7490772472,2
2990495,5548362683,0
3705798,7172329900,2
3206351,10877531699,1
2815349,12662514536,3
2934791,10802348209,1
2652413,12063332168,3
2744182,12904029822,3
2687656,8992675554,1
3024709,14480332073,3
2860051,16791123933,3
3430897,8636080173,1
3324166,9606744620,1
3008800,2933191829,0
3305243,10526122568,1
3123809,9365327952,1
2892635,10924319992,1
2549313,11099649452,1
3177272,10756042645,1
4041718,7014592725,2
2494686,1589131037,0
4497025,4974821603,0
2428282,13812455268,3
2493775,12631883158,3
2419201,11319059862,1
4903782,5912488503,2
3079977,6063189355,2
2819497,11939687987,3
2946803,8573806932,1
2744317,6083461684,2
3970546,10055757211,1
3625566,8120492271,2
3010167,14152982430,3
4612960,9668197057,1
4425725,8118011561,2
3318790,9645918635,1
3751968,8301455441,2
3703887,8570559026,1
3564160,8847985238,1
3480383,11853230500,3
3850277,11526565558,3
4255647,20640818847,3
2954244,13503440736,3
3491122,13078601989,3
3010006,13614831766,3
3041503,9859612112,1
3142325,9067785141,1
3965209,13860411050,3
2931874,13696878103,3
2762133,14059110160,3
3614589,16201663613,3
2915868,13406284450,3
4537615,13673396557,3
2350203,8724842504,1
3917018,8525158080,1
2393152,7384746179,2
5295311,8788276314,1
3004934,8781540783,1
4886002,9185644702,1
3815973,4708027546,0
4041177,2612255426,0
4052107,8839001084,1
3898843,9641993019,1
5364829,8913755378,1
5284776,6264551707,2
4643336,11439650731,1
4980573,6086578929,2
5120824,3047452374,0
4450918,5544731588,0
4182822,4774112036,0
5367846,10225160103,1
4465355,7626669892,2
4112853,10573001959,1
4460241,11759814916,3
5698900,9409730349,1
5613029,10359068222,1
6203320,9194537547,1
4692499,5680215910,2
4982707,10645489049,1
3858422,7106673143,2
4647998,7301190589,2
4122111,9892418836,1
3682648,7747436447,2
5255805,8311666776,2
5316805,5810420948,2
5459794,5179621421,0
3866712,4068741274,0
3558876,3861936674,0
3657011,4199504833,0
3369040,4044283859,0
3301049,4274811078,0
4853997,12627232965,3
3263256,5295862292,0
4438077,9679416119,1
4171599,7128896662,2
3797431,8651138109,1
3366374,4169407503,0
3508354,5722145244,2
2877511,7321525326,2
3104081,9430459063,1
3102870,6263152067,2
3524955,6110136815,2
5205600,10570606653,1
5026382,3209948894,0
3178962,4897891607,0
3187322,6506530917,2
3232384,7255734985,2
3936152,4346153202,0
3630165,7784559736,2
2942403,8203911483,2
4707961,10318178760,1
4023532,8665932968,1
5038681,6503975785,2
5122404,5214274341,0
3837241,8817633063,1
3659650,10294052537,1
3338385,8151725440,2
3595777,11141515166,1
3325054,11321567614,1
3246690,7389293277,2
4619576,10828981523,1
3419145,12895060739,3
5576971,8554854717,1
3971650,10394425545,1
4467258,10248085425,1
3907514,9235129596,1
3551100,9471434045,1
2746384,8067308571,2
4915639,5008360250,0
5210342,6381291044,2
5339623,6549977158,2
5367860,8134110014,2
4101275,9607446816,1
4197745,7594751373,2
4544427,5206108232,0
3708697,7279297605,2
3326224,4394869728,0
3706556,6256456770,2
3138188,9345709828,1
3247907,7920352861,2
4970045,6334377247,2
4432646,9590266689,1
4063083,11423538160,1
3607217,6930404935,2
3231509,8597027035,1
4890071,5030757740,0
4837171,6437682010,2
4676254,6352002701,2
6442571,8440173478,1
3295827,5998992280,2
3898209,6708120225,2
3848943,3415873012,0
2547938,9301945827,1
2377408,5834616162,2
2378530,5135963332,0
2661899,6281743462,2
2294160,11953691545,3
2303716,10652595099,1
2928980,12401292270,3
2621565,9118227933,1
3630923,12078980967,3
2732989,10323640938,1
2648840,8780650665,1
2656559,13326247708,3
2763234,11320848045,1
2503666,7459350572,2
2598920,11206868282,1
2774578,8166029597,2
2726595,9546895844,1
2791032,11204214519,1
3097899,9910773742,1
2660568,10306297741,1
2424564,9000055514,1
2443737,6280001216,2
2407798,9329643020,1
2418684,10450573960,1
2351345,8141032435,2
2308013,8831521108,1
2562837,11974671717,3
2659288,10139760793,1
2427949,12696281928,3
3438326,6798910884,2
2340063,10509954144,1
3157252,11868580323,3
2557438,12669567733,3
2309529,12180267403,3
2257241,9044807023,1
2238507,9888084672,1
2482104,8875829923,1
2446580,9293028901,1
2422428,7650317951,2
2772798,10647002602,1
3232549,7391329399,2
3088099,7285967169,2
2978500,10759837781,1
2782018,9629182126,1
2779636,6966515496,2
2380536,9087426456,1
2393532,9811770594,1
2408966,8942004919,1
2802698,8564694092,1
3222034,4314401774,0
2392625,10091030393,1
2397208,6935177091,2
2237335,8652562316,1
2325552,7057196249,2
2277791,5843459023,2
2750897,10507437275,1
2871855,10605789288,1
3274576,9199615843,1
2677499,11813020515,3
2445634,11210938138,1
3373971,9259805425,1
2856074,7988183546,2
3027326,8898859287,1
3161426,7875268920,2
3225967,3804619559,0
3955290,3948642565,0
2444150,6015056972,2
2728484,7733619371,2
3533535,9440689921,1
3886025,6626205420,2
2718851,8534495527,1
2913581,10220852394,1
2701682,6073807344,2
2694574,7498569472,2
2825036,7698457979,2
3217408,8265385430,2
2581370,10944661993,1
2568234,8425621584,1
3824457,3544659966,0
4291451,2351316875,0
4229328,3952998138,0
4402538,6511574655,2
3879139,13089954036,3
3425255,7527375818,2
3695651,9443075682,1
3555106,9207707941,1
2757268,10592812471,1
2941733,9303108852,1
3461298,5915536768,2
3168642,5573258007,2
3261465,6777613740,2
2757992,8385881469,1
3958778,7476458484,2
4364551,9136066552,1
2760629,10017596744,1
2796251,11801811654,3
2936461,8091992588,2
3472646,10867496548,1
3798609,6342238333,2
3365325,6218543906,2
2872304,9625907076,1
4146288,8992692537,1
4034004,9396175373,1
3789626,7471056575,2
3412606,8842407625,1
2815157,8626130396,1
2903155,9201492319,1
2491176,7937424676,2
2605976,13525863655,3
2748926,9298010825,1
2682472,11213510849,1
2415422,7407013525,2
2806083,6637828646,2
2839693,6270034758,2
3072887,6156920447,2
3630815,7257941285,2
3446720,8154688671,2
3534170,7146373564,2
3153364,4227960148,0
3604677,9096656924,1
3032682,3449245479,0
2758132,4506581592,0
3718013,3447437266,0
3645998,4112748551,0
3574646,6854903900,2
2660773,6659369809,2
3047677,6152079929,2
2617662,7722137994,2
2746867,6094676386,2
2547286,6207578565,2
3280785,5100379559,0
3513418,5142521844,0
3349292,5371863644,0
3298602,5025663952,0
2900255,7097492673,2
2377192,7204130000,2
2672180,8854463036,1
2683311,6328152553,2
2682252,5651171443,2
3179173,8707333346,1
3141631,8057005923,2
3051301,8244012825,2
2305925,5720866903,2
3754589,4989862671,0
3329980,9145320445,1
3030159,8326689691,1
2947891,4836762409,0
2610825,6244431064,2
2416415,6097330185,2
2696708,7656562668,2
2706804,8102558651,2
2720148,7165256855,2
4122031,6575558348,2
4236818,8270969976,2
4029629,7763743894,2
3652031,4388592406,0
3560692,6547813874,2
4002170,3222609338,0
3756908,3036243385,0
3828656,4106630464,0
2717159,5400282213,0
2272045,9600141633,1
