Diameter,Height,Whole_Weight,Viscra_Weight,Shell_Weight,Group
0.525,0.195,1.37,0.2955,0.407,2.0
0.275,0.095,0.217,0.0435,0.09,1.0
0.47,0.165,0.9975,0.242,0.33,0.0
0.45,0.14,1.013,0.216,0.36,0.0
0.38,0.135,0.6809999999999999,0.142,0.17,0.0
0.56,0.22,1.834,0.422,0.455,2.0
0.435,0.14,0.7535,0.1555,0.2325,0.0
0.405,0.15,0.7035,0.134,0.1885,0.0
0.42,0.13,1.001,0.226,0.265,0.0
0.54,0.175,1.5585,0.402,0.385,2.0
0.425,0.155,0.7735,0.123,0.255,0.0
0.46,0.175,0.8690000000000001,0.1825,0.32,0.0
0.265,0.085,0.1895,0.0515,0.055,1.0
0.45,0.19,1.0805,0.2495,0.2935,0.0
0.44,0.165,0.875,0.18,0.3,0.0
0.45,0.155,0.91,0.1895,0.355,0.0
0.4,0.125,0.6675,0.1315,0.22,0.0
0.25,0.07,0.1605,0.0335,0.046,1.0
0.11,0.04,0.0155,0.003,0.005,1.0
0.375,0.14,0.521,0.123,0.17,1.0
0.215,0.06,0.0935,0.023,0.03,1.0
0.285,0.105,0.2905,0.0685,0.0875,1.0
0.52,0.195,1.4535,0.391,0.4125,2.0
0.49,0.175,1.2435,0.313,0.305,0.0
0.185,0.06,0.0925,0.021,0.025,1.0
0.285,0.085,0.244,0.0445,0.068,1.0
0.49,0.18,1.13,0.2765,0.315,0.0
0.59,0.225,1.756,0.3405,0.58,2.0
0.5,0.175,1.5105,0.3755,0.3775,2.0
0.345,0.11,0.3665,0.081,0.117,1.0
0.19,0.08,0.081,0.0195,0.03,1.0
0.545,0.165,1.6225,0.299,0.513,2.0
0.13,0.045,0.029,0.0075,0.0095,1.0
0.57,0.205,1.842,0.408,0.65,2.0
0.31,0.115,0.3465,0.0695,0.115,1.0
0.325,0.11,0.3105,0.074,0.105,1.0
0.45,0.145,1.022,0.268,0.265,0.0
0.355,0.125,0.5255,0.135,0.145,1.0
0.41,0.115,0.6765,0.158,0.22,0.0
0.3,0.09,0.304,0.071,0.0955,1.0
0.44,0.16,0.985,0.201,0.27,0.0
0.215,0.075,0.106,0.023,0.035,1.0
0.335,0.115,0.406,0.0935,0.135,1.0
0.56,0.175,1.6605,0.3275,0.398,2.0
0.315,0.125,0.3525,0.0565,0.13,1.0
0.425,0.135,0.7120000000000001,0.1605,0.25,0.0
0.145,0.06,0.037,0.0095,0.011,1.0
0.475,0.175,1.2525,0.3055,0.343,0.0
0.46,0.18,1.0515,0.2595,0.276,0.0
0.46,0.18,1.14,0.2575,0.365,0.0
0.415,0.15,0.7775,0.1415,0.33,0.0
0.575,0.215,2.009,0.4475,0.502,2.0
0.51,0.165,1.545,0.3775,0.4055,2.0
0.335,0.11,0.4385,0.0715,0.1315,1.0
0.43,0.155,0.7955,0.1925,0.22,0.0
0.355,0.105,0.442,0.0975,0.1185,1.0
0.12,0.035,0.021,0.0045,0.005,1.0
0.365,0.09,0.6509999999999999,0.132,0.18,1.0
0.24,0.085,0.17,0.047,0.049,1.0
0.435,0.17,0.848,0.166,0.25,0.0
0.445,0.165,0.8320000000000001,0.179,0.279,0.0
0.385,0.13,0.623,0.1285,0.175,1.0
0.49,0.165,1.205,0.3105,0.3465,0.0
0.58,0.19,1.7375,0.4345,0.52,2.0
0.335,0.14,0.478,0.115,0.16,1.0
0.4,0.115,0.541,0.1025,0.21,1.0
0.51,0.19,1.4985,0.3075,0.545,2.0
0.44,0.135,0.768,0.1385,0.2475,0.0
0.53,0.195,1.388,0.2735,0.41,2.0
0.46,0.145,1.1185,0.2945,0.2985,0.0
0.445,0.145,0.888,0.1815,0.2425,0.0
0.465,0.155,0.872,0.239,0.285,0.0
0.415,0.165,0.7485,0.134,0.285,0.0
0.34,0.14,0.482,0.1085,0.16,1.0
0.35,0.14,0.5905,0.158,0.19,1.0
0.46,0.17,0.9035,0.1935,0.214,0.0
0.435,0.14,0.8455,0.191,0.222,0.0
0.505,0.165,1.26,0.2755,0.406,0.0
0.5,0.155,1.202,0.3135,0.294,0.0
0.405,0.16,0.792,0.1455,0.28,0.0
0.25,0.075,0.1785,0.0455,0.045,1.0
0.515,0.18,1.389,0.324,0.395,2.0
0.285,0.08,0.226,0.04,0.0725,1.0
0.27,0.09,0.195,0.0455,0.059,1.0
0.32,0.11,0.3735,0.0755,0.109,1.0
0.335,0.095,0.298,0.058,0.115,1.0
0.255,0.075,0.1635,0.0345,0.057,1.0
0.545,0.23,1.7519999999999998,0.2895,0.815,2.0
0.455,0.14,0.972,0.255,0.269,0.0
0.52,0.18,1.492,0.36,0.355,2.0
0.385,0.125,0.6115,0.1265,0.15,1.0
0.265,0.105,0.222,0.056,0.075,1.0
0.51,0.18,1.261,0.2335,0.339,0.0
0.33,0.115,0.365,0.0825,0.1245,1.0
0.475,0.17,1.247,0.225,0.425,0.0
0.43,0.12,1.0615,0.1669999999999999,0.31,0.0
0.405,0.14,0.6155,0.1355,0.205,1.0
0.255,0.09,0.1785,0.0305,0.0525,1.0
0.57,0.21,2.236,0.5195,0.545,2.0
0.525,0.215,1.779,0.2855,0.55,2.0
0.265,0.11,0.2965,0.063,0.085,1.0
0.265,0.085,0.1735,0.034,0.056,1.0
0.485,0.215,0.9615,0.176,0.29,0.0
0.3,0.09,0.277,0.0625,0.0819999999999999,1.0
0.43,0.15,0.8825,0.172,0.31,0.0
0.425,0.155,0.7905,0.171,0.2595,0.0
0.43,0.16,0.8440000000000001,0.1855,0.231,0.0
0.35,0.14,0.451,0.0705,0.184,1.0
0.525,0.175,1.71,0.309,0.58,2.0
0.37,0.13,0.458,0.113,0.136,1.0
0.48,0.17,1.056,0.2435,0.3135,0.0
0.42,0.145,0.8655,0.163,0.2175,0.0
0.305,0.09,0.328,0.0615,0.0819999999999999,1.0
0.305,0.095,0.2815,0.0525,0.09,1.0
0.385,0.18,1.0835,0.2295,0.304,0.0
0.405,0.135,0.7575,0.216,0.195,0.0
0.19,0.07,0.0815,0.016,0.031,1.0
0.425,0.13,0.664,0.163,0.21,0.0
0.235,0.08,0.17,0.0465,0.0495,1.0
0.575,0.175,1.555,0.3705,0.52,2.0
0.42,0.14,0.74,0.159,0.1985,0.0
0.375,0.115,0.5895,0.12,0.1669999999999999,1.0
0.35,0.125,0.4315,0.1165,0.1175,1.0
0.43,0.175,1.411,0.297,0.395,2.0
